ID,block,trial_n,dim_onset,angle_correct,angle_chosen,choice,acc,tResp_1,conf_rating,tResp_2,x1,x2,x3,y1,y2,y3,PID,session,block_c
07al01,1,1,8,-22.7947,-21.9922,2,0,7.216,0.5053,4.8975,-20.973,-32.6518,-23.0252,8.8139,13.187,21.1147,07al,1,1
07al01,1,2,5,-36.1493,-15.9296,1,0,11.4398,0.8706,3.1405,-29.6727,-28.6006,-18.3767,8.4691,20.8937,13.7529,07al,1,1
07al01,1,3,2,-25.1284,-41.745,2,0,2.6211,0.9433,3.6078,-32.4206,-23.9791,-20.2503,12.219,21.3984,9.4982,07al,1,1
07al01,1,4,8,-40.9169,-40.9169,1,1,4.8604,0.9238,3.0152,-24.849,-19.6948,-32.1063,21.5377,10.1819,11.3961,07al,1,1
07al01,1,5,8,-42.5075,-22.8404,2,0,2.3857,0.9238,1.8769,-23.0444,-20.9572,-32.6484,21.1218,8.827,13.1668,07al,1,1
07al01,1,6,2,-39.4556,-18.0403,3,0,6.0275,0.8528,10.2866,-26.1769,-19.0249,-31.4483,21.5445,11.3284,10.2427,07al,1,1
07al01,2,1,2,-39.0811,-17.7226,1,0,2.632,0.8741,1.7802,-31.264,-26.4868,-18.8992,9.9912,21.5107,11.6137,07al,1,2
07al01,2,2,8,-18.9634,-40.4063,1,0,2.4588,0.8085,5.12,-25.3375,-19.4236,-31.8889,21.5687,10.5894,10.9575,07al,1,2
07al01,2,3,2,-23.3677,-43.0903,3,0,4.8516,0.4273,3.844,-21.7585,-32.7465,-22.1449,8.251,14.1488,20.7158,07al,1,2
07al01,2,4,8,-18.1432,-43.555,1,0,2.1892,0.7411,1.7393,-20.8739,-23.1467,-32.6294,19.8467,7.5848,15.6841,07al,1,2
07al01,2,5,8,-40.0706,-40.0706,3,1,2.6553,0.6117,0.9729,-19.2684,-31.7382,-25.6434,10.8531,10.6913,21.5713,07al,1,2
07al01,2,6,5,-34.3522,-34.3522,1,1,2.4205,0.8067,2.2414,-29.6681,-18.3762,-28.6057,20.2779,14.9853,7.8525,07al,1,2
07al01,3,1,5,-25.6682,-20.3677,2,0,1.9626,0.6241,1.9497,-20.1043,-32.3519,-24.1938,9.6618,12.0108,21.443,07al,1,3
07al01,3,2,5,-37.6757,-16.7215,3,0,6.9243,0.4645,3.6222,-27.5633,-18.5567,-30.53,21.2847,12.659,9.1719,07al,1,3
07al01,3,3,5,-15.1798,-40.3486,3,0,3.7664,0.4238,3.3788,-27.9453,-30.2326,-18.4721,7.582,19.8412,15.6925,07al,1,3
07al01,3,4,5,-27.2675,-27.2675,2,1,3.1654,0.5887,1.5629,-24.1425,-32.3688,-20.1386,7.3108,16.6835,19.1213,07al,1,3
07al01,3,5,2,-39.7214,-39.7214,1,1,2.6996000000000002,0.7926,1.7298,-25.9503,-19.1241,-31.5756,21.5607,11.1241,10.4308,07al,1,3
07al01,3,6,2,-17.6248,-17.6248,1,1,2.3486,0.3972,1.0124,-23.5066,-32.5507,-20.5927,7.4679,16.0542,19.5935,07al,1,3
07al02,1,1,5,-35.0827,NA,NA,NA,NA,NA,NA,-29.2534,-18.351,-29.0456,20.5464,14.4918,8.0774,07al,2,4
07al02,1,2,2,-43.0346,-15.7763,2,0,9.5671,0.4468,1.7857,-19.3955,-25.3912,-31.8633,18.1085,7.1736,17.8335,07al,2,4
07al02,1,3,5,-27.7774,-27.7774,3,1,2.7234,0.7589,1.2709,-19.9285,-24.4647,-32.2568,18.8707,7.2541,16.9908,07al,2,4
07al02,1,4,2,-16.5836,-16.5836,3,1,1.6283,0.8582,1.4822,-27.7278,-18.5178,-30.4044,21.2346,12.8265,9.0545,07al,2,4
07al02,1,5,8,-31.8508,-31.8508,2,1,1.7597,0.8156,1.1488,-27.0533,-30.8963,-18.7004,7.3306,19.1944,16.5906,07al,2,4
07al02,1,6,8,-27.4599,-40.8688,3,0,1.9521,0.7996,1.1588,-19.6672,-32.0865,-24.8963,10.2206,11.3529,21.5421,07al,2,4
07al02,1,7,5,-29.9953,-29.9953,3,1,2.3146,0.844,0.9973,-19.1582,-25.8756,-31.6162,17.6862,7.1792,18.2502,07al,2,4
07al02,2,1,5,-21.5363,-42.889,2,0,1.984,0.8191,1.3609,-32.7246,-22.4863,-21.4391,13.7673,20.8875,8.4608,07al,2,5
07al02,2,2,5,-35.109,-16.4515,3,0,2.3546,0.6064,1.34,-27.8906,-18.483,-30.2764,21.1808,12.9944,8.9404,07al,2,5
07al02,2,3,2,-15.3356,-34.2856,2,0,1.8009,0.9433,1.7438,-28.5652,-29.7047,-18.3801,7.8336,20.2522,15.0298,07al,2,5
07al02,2,4,2,-35.6496,-37.5342,3,0,1.9817,0.7411,1.1632,-29.3814,-28.9135,-18.3551,8.2759,20.7379,14.1017,07al,2,5
07al02,2,5,5,-15.3578,-15.3578,2,1,1.6714,0.8493,1.4736,-18.3742,-28.627,-29.6488,14.9619,7.8625,20.2913,07al,2,5
07al02,2,6,5,-16.8373,-43.5139,1,0,2.3819,0.8262,2.3299,-20.1325,-24.1516,-32.3658,19.1143,7.309,16.6923,07al,2,5
07al02,3,1,2,-15.9812,-15.9812,2,1,2.023,0.4823,1.9222,-19.5557,-25.0929,-32.0013,18.3604,7.1864,17.5688,07al,2,6
07al02,3,2,8,-17.252,-17.252,1,1,2.1481,0.8777,1.3798,-30.9523,-26.9709,-18.7268,9.6121,21.4303,12.0733,07al,2,6
